stock,sector,company
AABA,Financials,Altaba
AAPL,Technology,Apple Inc.
AMZN,Technology,Amazon.com Inc.
AXP,Financials,American Express Company
BA,Industrials,Boeing Company
CAT,Industrials,Caterpillar Inc.
CSCO,Technology,Cisco Systems Inc.
CVX,Energy,Chevron Corporation
DIS,Consumer,Walt Disney Company
GE,Industrials,General Electric Company
GOOGL,Technology,Alphabet Inc.
GS,Financials,Goldman Sachs Group Inc.
HD,Consumer,Home Depot Inc.
IBM,Technology,International Business Machines Corporation
INTC,Technology,Intel Corporation
JNJ,Healthcare,Johnson & Johnson
JPM,Financials,JPMorgan Chase & Co.
MDC,Consumer,MDU Resources Group Inc.
KO,Consumer,Coca-Cola Company
MCD,Consumer,McDonald's Corporation
MMM,Industrials,3M Company
MRK,Healthcare,Merck & Co. Inc.
MSFT,Technology,Microsoft Corporation
NKE,Consumer,Nike Inc.
PFE,Healthcare,Pfizer Inc.
PG,Consumer,Procter & Gamble Co.
TRV,Financial,Travelers Companies Inc.
UNH,Healthcare,UnitedHealth Group Incorporated
UTX,Aerospace,United Technologies Corporation
VZ,Communication,Verizon Communications Inc.
WMT,Consumer,Walmart Inc.
XOM,Energy,Exxon Mobil Corporation
